system:index,B1,B2,B3,B4,B5,B6,B7,landuse,.geo
142_0,0.12870689,0.10402159,0.09797949,0.06683363,0.4037675,0.18330684,0.08237203,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
143_0,0.13604695,0.11678894,0.108388625,0.1120683,0.21556896,0.21488328,0.16406706,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
144_0,0.13146469,0.10968661,0.097030506,0.0672937,0.45543313,0.20430279,0.09969804,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
145_0,0.13025922,0.10867907,0.09786366,0.07837479,0.34404194,0.18170254,0.08705418,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
146_0,0.12557323,0.10040073,0.08234677,0.056624793,0.38860038,0.14671484,0.060529828,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
147_0,0.14719999,0.12442222,0.10400614,0.084214315,0.24780858,0.18790114,0.09693655,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
148_0,0.13196741,0.111804806,0.097157,0.064882636,0.35017645,0.17634176,0.07508969,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
149_0,0.12606783,0.10309801,0.086934276,0.05975768,0.3151529,0.18797547,0.08737781,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
150_0,0.1306989,0.1085943,0.08656683,0.06646074,0.34010863,0.15301782,0.06516675,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
151_0,0.1327026,0.10862772,0.08845399,0.06720032,0.2627584,0.15958004,0.07966808,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
152_0,0.1295547,0.10569882,0.082906604,0.06356722,0.20650358,0.10944837,0.05766793,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
153_0,0.12316002,0.100608364,0.08399416,0.061376836,0.28478768,0.17432776,0.07775428,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
154_0,0.121755764,0.09725955,0.07737277,0.05790542,0.31580544,0.14594205,0.061837465,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
155_0,0.13692802,0.11549167,0.11226188,0.0970822,0.31134567,0.2038997,0.108701825,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
156_0,0.13681418,0.1125139,0.09267218,0.06813158,0.31448698,0.15103208,0.07208487,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
157_0,0.12882268,0.104452506,0.091497496,0.062490053,0.4293288,0.19080557,0.07812746,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
158_0,0.1329131,0.10784488,0.09216324,0.06299539,0.33314225,0.12217647,0.057529427,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
159_0,0.12474501,0.10119026,0.085391924,0.06286659,0.32366118,0.16638967,0.072760426,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
160_0,0.13593271,0.11175872,0.11283124,0.09737377,0.3223663,0.20164368,0.11293794,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
161_0,0.12249766,0.09736983,0.07046415,0.05013449,0.21530956,0.12084724,0.055054802,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
162_0,0.1278181,0.099518985,0.07060604,0.043850355,0.14322674,0.07293539,0.040865578,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
163_0,0.122193865,0.0964053,0.06708803,0.045422323,0.17601512,0.09781199,0.042813487,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
164_0,0.13240021,0.10257563,0.068640776,0.043539196,0.17032526,0.12423664,0.046768855,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
165_0,0.13590951,0.11214931,0.08797111,0.0778428,0.16113302,0.14236796,0.09298907,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
166_0,0.11949905,0.09717854,0.07805392,0.05104053,0.37908188,0.18404666,0.07351968,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
167_0,0.13047537,0.10150179,0.06497608,0.04671786,0.17585707,0.10035671,0.044570472,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
168_0,0.12681396,0.10245173,0.07629545,0.050349787,0.23839393,0.12528017,0.05763792,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
169_0,0.13814229,0.1175684,0.09331773,0.079191804,0.24563803,0.19875899,0.10949689,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
170_0,0.11853713,0.09383675,0.07629269,0.0538167,0.36137545,0.18658616,0.07646944,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
171_0,0.12361613,0.0993768,0.0681158,0.044968214,0.17846626,0.09140702,0.03882965,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
172_0,0.12248337,0.097540274,0.086940095,0.061896637,0.2688718,0.11282435,0.052786194,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
173_0,0.1180811,0.09570448,0.07118769,0.046871576,0.2747661,0.13723731,0.06227672,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
174_0,0.121545196,0.09807843,0.08639121,0.055865206,0.4173535,0.20195921,0.081075415,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
175_0,0.1261112,0.09809928,0.07322273,0.054510146,0.25313464,0.15801802,0.067417786,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
176_0,0.1287393,0.103739545,0.08477692,0.059375606,0.24125046,0.11908673,0.057334464,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
